"","p_rms","time_from_start_s","abs_time","tol_cf_25Hz","tol_cf_31.5Hz","tol_cf_40Hz","tol_cf_50Hz","tol_cf_63Hz","tol_cf_80Hz","tol_cf_100Hz","tol_cf_125Hz","tol_cf_160Hz","tol_cf_200Hz","tol_cf_250Hz","tol_cf_315Hz","tol_cf_400Hz","tol_cf_500Hz","tol_cf_630Hz","tol_cf_800Hz","tol_cf_1000Hz","tol_cf_1250Hz","tol_cf_1600Hz","tol_cf_2000Hz","tol_cf_2500Hz","tol_cf_3150Hz","tol_cf_4000Hz","tol_cf_5000Hz","tol_cf_6300Hz","tol_cf_8000Hz","tol_cf_10000Hz","tol_cf_12500Hz","tol_cf_16000Hz","small_boats","big_boats","large_ships"
"1",7045301723.84554,3535.5,2011-11-18 07:49:47,96200473.5948002,139832449.847557,67293816.744488,74029615.4531247,40281135.6643198,30310288.148592,4479486.60452539,5619047.60814439,5265435.18865373,4921564.99633292,4642494.47510474,4815702.57687309,4384196.98699223,5036190.81983296,12081870.0853964,17394095.437629,24170845.0974535,38667187.3063387,452167418.987473,2118101379.39578,1361493771.65713,1346144347.42504,528713861.684428,367865361.099465,59613241.1729686,103921416.254145,50241000.6917753,23458635.4275221,34178789.5697623,6420904078.63222,75155204.8254278,475414350.420511
"2",9599605999.62497,3536,2011-11-18 07:49:48,153300369.940901,144733766.751063,121505151.36634,131716061.36657,43672891.5430629,27561917.6498306,17184074.685238,5999776.2875835,6525514.28702193,5371483.60045745,9075943.59395372,8431527.56844462,5294032.10659903,7130325.51504439,7856098.82437075,18669386.1491602,39720005.5012239,79506407.9948787,589060477.83212,2583462490.91671,2303870624.80085,1618392893.62586,777338738.414267,549180530.79274,76599153.2529127,134749734.979109,61795219.8727252,32765984.0611255,37779785.0382025,8778403381.0027,88812275.842218,644414537.094449
"3",15707640416.6287,3536.5,2011-11-18 07:49:48,114009415.077373,134003491.960407,126464847.666827,95461326.878119,73628691.1447464,34350744.2921419,7983040.45993355,4699083.51463365,3958802.99474446,5785069.2667968,5164362.3787149,7504925.12508759,5993653.29732866,8247850.87719189,10336657.9363534,33579139.5373598,57038655.3543242,160693424.938572,1234792273.84881,4392391440.83866,5217117992.12557,2052413140.51923,976512398.046217,575260303.748946,94620703.7485965,153705561.251078,70146718.9996597,39175221.8264369,43812320.375615,14932632936.0357,108258432.376154,561558798.884436
"4",16517486588.217,3537,2011-11-18 07:49:49,168328922.628089,127731047.04731,52705553.604799,83959697.766543,100538748.56771,31466104.8081657,33239938.6341663,4309917.58897548,7395568.21405886,7400771.52553008,15785611.7632626,29200807.5821224,14818204.5625348,15181949.2303369,14124469.9104143,26997040.5538777,41488920.0638828,167430428.570888,1286451664.83624,5663828739.20163,4574411987.54632,2074633916.83504,830728195.948929,669854555.492408,113422205.881745,179112322.506905,74430056.736765,40458122.7089517,53280668.2616932,15615046205.0953,148197443.538133,637698320.852816
"5",17987956712.5245,3537.5,2011-11-18 07:49:49,108201590.003524,46370552.84521,87248613.4276408,54278035.9850267,37620224.7843765,20291734.7542948,7410734.83146608,5524971.18111644,3432751.3720952,6218120.34975953,5861526.06708724,5390643.86562933,5584182.40097335,6549210.52581909,7573388.22863192,28696731.8565062,62183050.3368559,258953237.322381,1905249911.1348,5821177594.29018,5770727880.91214,1698030660.01296,977300690.479597,656175936.49651,106206799.214654,162217955.802112,85108430.3266781,38303150.6553961,51173089.6218025,17433364952.4786,88966139.240852,351115570.710432
"6",18045534691.6276,3538,2011-11-18 07:49:50,263864404.762801,88780721.9282795,248950931.089993,164508165.85076,92470190.2944821,90137179.4352701,43186305.5198828,8968393.28400194,5829970.33398294,10102207.9334283,15367570.332241,11169305.7993852,10349323.4129618,9184062.32376715,12709109.4393045,36989502.0312174,101699805.17241,381210439.874098,1416207267.03378,5327191612.81321,6636106846.85291,1479468962.88668,708307025.066651,512279632.351772,89778208.6655415,144606427.120606,67813719.6635097,34994771.7692116,43820065.3854242,16805287631.5761,156412657.044327,985796615.494272
"7",19415734693.0676,3538.5,2011-11-18 07:49:50,103881773.366999,91742034.5468299,127925885.261286,252263367.474071,80171891.4935483,42294468.4992615,12588476.0553902,4990340.35735299,4646658.54896834,4252744.92631124,4455945.45150695,6654583.77211809,4997436.90630286,8423203.5982073,13775318.3805597,60050805.7185725,120337801.897485,302876824.582381,1465941765.90905,7375560929.99786,6070068614.00141,1548333317.41534,759536333.448382,640922257.657622,91685335.1960099,142315571.669169,64198480.5173272,36122646.8390093,45236139.0005328,18478979665.4208,169100225.68661,665287951.97414
"8",23902292985.0124,3539,2011-11-18 07:49:51,137068942.633724,295293567.890462,62319483.2814358,60905806.6683125,70935920.6449098,26280442.8745575,6308827.74272493,3183974.68672445,3814920.3900373,5277920.82074075,4320092.99502388,4167417.82547634,4522435.7113467,8036258.73916405,11942548.1386047,42420252.2598942,99117535.1434405,306087685.065811,2062251091.2573,8492873488.22173,9163672306.37563,1766388137.30668,668524250.430495,491815085.622572,82117206.2624015,137879297.251893,61025071.8445298,37251630.7930029,39984759.8774398,23093673124.0447,118351248.584827,591114553.207925
"9",14106145082.6292,3539.5,2011-11-18 07:49:51,319252929.738625,231155532.49833,60493936.0303571,70537445.5599809,40450237.9296445,43521466.573082,5909612.70130151,4038793.81533904,5877345.48190498,4582083.20998391,5361405.11551597,4477898.74301595,5212937.18899694,7676338.85518708,9100476.01896389,17277315.7326459,35166148.020107,155626026.937617,851586673.874921,6065967021.68084,3011926530.48655,1745915884.68941,624409607.883859,540406901.735891,75264174.6149709,122800834.285429,60925649.000687,33003892.4523959,40645711.2681943,13204971148.853,76027446.2591914,732185375.967036
"10",12252072978.2745,3540,2011-11-18 07:49:52,242698723.251566,66463335.1054849,141022222.497515,131391202.712553,48389418.3497349,42478722.635262,20461512.1185928,14035474.2432563,4438670.10723229,7769758.90001223,13587226.7314459,21923226.1923045,10600175.3904533,10862523.7101092,9311575.66377112,16699292.8900398,29877136.3790106,201014845.181838,981047970.379217,5174548527.50873,2491909761.68684,1248116499.09377,604889349.845328,419799318.141047,66847089.2869732,114597771.990266,54503361.8581545,30909650.923382,38085986.4994765,11339638800.0292,122114385.634608,704487979.078436
