"","p_rms","time_from_start_s","abs_time","tol_cf_25Hz","tol_cf_31.5Hz","tol_cf_40Hz","tol_cf_50Hz","tol_cf_63Hz","tol_cf_80Hz","tol_cf_100Hz","tol_cf_125Hz","tol_cf_160Hz","tol_cf_200Hz","tol_cf_250Hz","tol_cf_315Hz","tol_cf_400Hz","tol_cf_500Hz","tol_cf_630Hz","tol_cf_800Hz","tol_cf_1000Hz","tol_cf_1250Hz","tol_cf_1600Hz","tol_cf_2000Hz","tol_cf_2500Hz","tol_cf_3150Hz","tol_cf_4000Hz","tol_cf_5000Hz","tol_cf_6300Hz","tol_cf_8000Hz","tol_cf_10000Hz","tol_cf_12500Hz","tol_cf_16000Hz","small_boats","big_boats","large_ships"
"1",1385374496.3862,3742.5,2011-11-18 07:53:14,90706352.8857977,54258342.3490663,94703635.7585116,48561015.5300255,31101755.1010095,10737633.1304305,6344624.16103305,3712686.79954896,2656626.5446458,2330585.02976393,3436545.68443579,3283483.66063092,3870748.79380314,5057073.38375229,3763887.6846405,3510393.81133101,4814874.94098935,8063052.18988333,62905784.4902896,515526777.989105,95430832.0329617,72112335.1789106,41499552.5861388,66697925.4674623,22116365.4112604,28884231.3057934,44181125.2792405,22664569.5429126,26600147.7315929,936159276.785866,36553238.9354888,340084688.764297
"2",2050375015.85533,3743,2011-11-18 07:53:15,99635124.6735928,98361029.6434858,89590020.6588496,126666258.31751,42706007.7666004,19733541.8083192,8622303.05033181,2768171.97932976,4089097.23227478,5059876.01742138,4934722.70026945,4269377.66859034,4041859.23901438,5928367.62227879,5045201.60427932,3464227.50188297,4960053.77575917,14895048.6340655,91002109.8767951,861167787.064229,162762747.822043,115941135.426526,67601015.2402455,91163063.5835627,33792491.3984119,44763845.3823179,51067748.0808253,20490146.9308201,22838751.663688,1511313799.71987,44511827.5082358,427318393.427473
"3",2250467559.34183,3743.5,2011-11-18 07:53:15,48469037.5951917,67238983.0345874,62513000.0205165,72427066.0807085,53766765.2333404,43307173.0794702,5334911.13886631,2290844.72181923,3409951.99551309,4778290.99664078,3162862.49629716,4381962.83112761,3963600.75201247,6393339.09294981,3839365.97992392,3454526.34661647,5985744.93574957,18356431.8821437,106992065.335915,999390721.272924,217712084.57193,156029996.041136,85994257.9431944,108400054.488891,33429608.731724,37770328.4007183,36116962.8274859,18395390.4378755,22495057.7698406,1786567946.3906,41034264.7900814,364768291.790417
"4",2369286260.58695,3744,2011-11-18 07:53:16,38173759.6336597,120398771.854547,26250462.1676804,60386101.1292577,30573401.2671171,25751575.2800717,3564612.53190962,4020050.72398717,4565865.22078052,6453346.41090279,3142422.83745925,3695163.31815243,3608668.14251468,4987356.23816102,4307714.85200155,4391453.53010603,5287976.30628655,12488737.8631418,123722361.286834,947812448.204739,257636937.514351,202495472.657364,92499686.2160307,121539384.947246,30008557.9527097,35840093.9243337,37711744.3460615,18609476.2112768,21404434.7329118,1843219733.95998,42847744.8641915,425205098.519416
"5",2773027858.71845,3744.5,2011-11-18 07:53:16,48884966.4356218,89250382.281378,85903893.0358015,55974003.1792079,64301872.5647249,18538092.8221177,5816154.94295412,5108448.3617308,4492445.02663458,4042944.77079905,4868615.61023139,4201757.97147226,3729095.6597073,5736918.41279564,5295495.78764577,5039157.1857791,7183066.94763955,25088329.4709875,143632859.579955,1032176831.619,386757431.63163,257361981.455513,118737944.668262,155811874.08691,34755464.0785574,41100609.8583166,38442418.5210604,19641550.8268014,20497906.7181212,2217039361.92725,47242437.3632937,451000678.344366
"6",3414226708.15023,3745,2011-11-18 07:53:17,339299233.461868,237908878.293408,132810405.060242,69771139.5580517,46580898.8132812,15393841.3680177,11097217.2126978,4377612.63186452,3255531.88634708,5064311.01109586,3315808.60403303,5063017.8366546,4035399.6649504,5320590.92200831,5764714.45339682,5012381.68082817,7197361.27850369,33317999.1311289,140200857.126513,1211458143.57411,370079807.523129,285866759.07879,174972668.329122,205410605.658679,31738823.0954535,45276975.0568647,51731801.0114743,20622984.956915,23228540.566763,2528258126.16179,46032220.2230358,776169622.287078
"7",3975884951.79095,3745.5,2011-11-18 07:53:17,99030617.9473739,56068727.2145755,40744501.8363862,87924592.3097428,48582352.004045,27183838.8237364,7613587.1504626,3133618.67983988,3243259.99427823,4741827.24992945,4128884.63272253,4050594.56117464,3832270.47998412,4864554.94555187,3515760.00667369,3893048.89559415,5228172.02327405,22320126.058479,241886836.291685,1712834334.7904,666747655.225698,371008704.525634,199234938.863788,204387018.456371,30458669.7988025,46438647.8804688,44849750.7555644,16810047.3206949,22358202.9486855,3517769820.20547,38327463.9764762,364238577.372502
"8",4041995091.81049,3746,2011-11-18 07:53:18,47221878.5010863,218721457.784059,74508319.7061597,74221212.6819245,44711147.1442447,24160598.1831744,2294683.40955086,3754399.69053099,4279314.80584639,4754462.6265815,4954856.97052024,4310817.61919969,4545415.8567339,4613031.00877717,4795317.71270277,4169803.17664506,5956774.51747996,28650032.048146,186577228.054894,1295796575.38826,1032072400.57853,399479798.959731,215058746.060707,190689075.841201,32951612.0990208,40979309.8102849,43342126.4812789,15245671.6426088,20655665.8305798,3443506878.03073,43572642.9890813,504078557.533833
"9",3256670372.69478,3746.5,2011-11-18 07:53:18,108455484.451034,69652148.6327465,61232282.54511,78940586.140407,18094559.0114967,15771930.1004121,10236682.7736691,3286257.00302085,4280184.67656538,6385084.93579605,4462456.37486226,3790908.96461932,3830289.38959608,3908136.48717519,3970783.07803873,3743400.55915655,6064034.24379818,20685151.7705318,138367573.460898,939856812.337473,780171159.735981,476137321.096487,204383700.002075,151815958.947776,26612074.2340148,32438720.2664066,36777530.5564308,14255722.6762597,20038308.9582509,2786506910.65674,41759217.9767242,379119516.814878
"10",3674892183.16226,3747,2011-11-18 07:53:19,185360277.10213,187152814.257686,102062046.185854,94479434.619521,61014892.8328405,31895123.279739,8843914.38378216,3373015.45173093,3041956.28772295,4549231.63379233,3293045.1299229,4337177.37793242,4116469.09929427,4581259.86904437,4594714.46568055,3668453.38487543,6236615.26164996,15754096.9606549,88281462.3784401,1066004071.99742,605410523.653678,565187543.256584,343612766.202521,261482870.972245,26414131.2949914,33051466.2079674,28711212.8654071,14728803.512732,19188033.1314107,3022787882.56974,38774679.1583806,566508002.747656
